--- Day -------------------------------------

[  0] 0x01B  0x40C
[  1] 0x021  0x46C
[  2] 0x023  0x4AB
[209] 0x7A9  0xFFF
[210] 0x7C0  0xFFF
[211] 0x7D8  0xFFF
[212] 0x7F0  0xFFF
[213] 0x809  0xFFF
[214] 0x821  0xFFF
[215] 0x83A  0xFFF
[216] 0x853  0xFFF
[217] 0x86D  0xFFF
[218] 0x886  0xFFF
[219] 0x8A0  0xFFF
[220] 0x8B9  0xFFF
[221] 0x8D4  0xFFF
[222] 0x8EE  0xFFF
[223] 0x909  0xFFF
[224] 0x923  0xFFF
[225] 0x93E  0xFFF
[226] 0x959  0xFFF
[227] 0x975  0xFFF
[228] 0x990  0xFFF
[229] 0x9AB  0xFFF
[230] 0x9C7  0xFFF
[231] 0x9E3  0xFFF
[232] 0x9FF  0xFFF
[233] 0xA1B  0xFFF
[234] 0xA39  0xFFF
[235] 0xA55  0xFFF
[236] 0xA72  0xFFF
[237] 0xA8F  0xFFF
[238] 0xAAC  0xFFF
[239] 0xACB  0xFFF
[240] 0xAE8  0xFFF
[241] 0xB07  0xFFF
[242] 0xB25  0xFFF
[243] 0xB44  0xFFF
[244] 0xB63  0xFFF
[245] 0xB83  0xFFF
[246] 0xBA2  0xFFF
[247] 0xBC1  0xFFF
[248] 0xBE1  0xFFF
[249] 0xC02  0xFFF
[250] 0xC23  0xFFF
[251] 0xC45  0xFFF
[252] 0xC65  0xFFF
[253] 0xC87  0xFFF
[254] 0xCA8  0xFFF
[255] 0xCCA  0xFFF

--- NVG -------------------------------------

[  0] 0x01D  0x3F0
[  1] 0x023  0x4AC
[  2] 0x022  0x49D
[  3] 0x020  0x3DB
[  4] 0x021  0x437
[  5] 0x021  0x450
[  6] 0x021  0x43E
[  7] 0x022  0x47E
[  8] 0x022  0x48B
[  9] 0x023  0x4C8
[ 10] 0x022  0x490
[ 11] 0x022  0x478
[ 12] 0x023  0x4CA
[ 13] 0x023  0x49C
[ 14] 0x023  0x48E
[ 15] 0x023  0x488
[ 16] 0x024  0x4E9
[ 17] 0x023  0x46C
[ 18] 0x023  0x424
[ 19] 0x022  0x3E3
[ 20] 0x024  0x4A1
[ 21] 0x024  0x4BC
[ 22] 0x023  0x43F
[ 23] 0x023  0x40E
[ 24] 0x025  0x4CE
[ 25] 0x025  0x4DC
[ 26] 0x025  0x478
[ 27] 0x025  0x48F
[ 28] 0x025  0x471
[ 29] 0x026  0x4A9
[ 30] 0x026  0x4BC
[ 31] 0x026  0x48F
[ 32] 0x026  0x4A4
[ 33] 0x026  0x482
[ 34] 0x028  0x524
[ 35] 0x027  0x472
[ 36] 0x027  0x4B8
[ 37] 0x028  0x4BD
[ 38] 0x027  0x463
[ 39] 0x028  0x488
[ 40] 0x029  0x4E4
[ 41] 0x029  0x48F
[ 42] 0x029  0x4B5
[ 43] 0x029  0x490
[ 44] 0x029  0x4A1
[ 45] 0x02A  0x4BC
[ 46] 0x02B  0x507
[ 47] 0x02B  0x4DD
[ 48] 0x02B  0x4E7
[ 49] 0x02B  0x4A3
[ 50] 0x02B  0x4A5
[ 51] 0x02C  0x4D9
[ 52] 0x02D  0x4C9
[ 53] 0x02D  0x50B
[ 54] 0x02D  0x4D4
[ 55] 0x02E  0x50F
[ 56] 0x02F  0x50E
[ 57] 0x02F  0x4D6
[ 58] 0x02E  0x497
[ 59] 0x02F  0x4C4
[ 60] 0x030  0x4BD
[ 61] 0x031  0x4F7
[ 62] 0x032  0x547
[ 63] 0x032  0x505
[ 64] 0x033  0x552
[ 65] 0x032  0x4DC
[ 66] 0x033  0x4D4
[ 67] 0x034  0x517
[ 68] 0x034  0x50F
[ 69] 0x035  0x505
[ 70] 0x036  0x520
[ 71] 0x036  0x4EE
[ 72] 0x037  0x516
[ 73] 0x038  0x53D
[ 74] 0x038  0x4F3
[ 75] 0x03A  0x594
[ 76] 0x03A  0x538
[ 77] 0x03A  0x523
[ 78] 0x03B  0x532
[ 79] 0x03C  0x554
[ 80] 0x03D  0x543
[ 81] 0x03E  0x54B
[ 82] 0x03F  0x57B
[ 83] 0x03F  0x51D
[ 84] 0x040  0x53F
[ 85] 0x040  0x4F8
[ 86] 0x043  0x5D1
[ 87] 0x042  0x510
[ 88] 0x043  0x53C
[ 89] 0x045  0x5B4
[ 90] 0x046  0x58F
[ 91] 0x047  0x5A8
[ 92] 0x048  0x593
[ 93] 0x049  0x587
[ 94] 0x04B  0x5B2
[ 95] 0x04B  0x58F
[ 96] 0x04D  0x5BE
[ 97] 0x04E  0x5D9
[ 98] 0x04F  0x5BB
[ 99] 0x051  0x5C9
[100] 0x052  0x5D8
[101] 0x053  0x5CA
[102] 0x055  0x5ED
[103] 0x056  0x5E4
[104] 0x057  0x5FF
[105] 0x059  0x5FB
[106] 0x05B  0x5F7
[107] 0x05C  0x60F
[108] 0x05E  0x60A
[109] 0x060  0x61F
[110] 0x061  0x614
[111] 0x063  0x61E
[112] 0x065  0x639
[113] 0x067  0x63C
[114] 0x069  0x653
[115] 0x06B  0x656
[116] 0x06D  0x649
[117] 0x06F  0x654
[118] 0x071  0x668
[119] 0x073  0x66B
[120] 0x076  0x68A
[121] 0x078  0x696
[122] 0x07A  0x676
[123] 0x07D  0x6A2
[124] 0x080  0x6F4
[125] 0x082  0x6AE
[126] 0x085  0x6C8
[127] 0x087  0x6BD
[128] 0x08A  0x6F0
[129] 0x08D  0x6D1
[130] 0x090  0x6D8
[131] 0x094  0x6EA
[132] 0x097  0x713
[133] 0x09A  0x6E5
[134] 0x09D  0x6FB
[135] 0x0A1  0x712
[136] 0x0A4  0x713
[137] 0x0A8  0x72E
[138] 0x0AC  0x71A
[139] 0x0B0  0x713
[140] 0x0B4  0x77D
